textbox1
 Nutrient Status % of pH - Rajasthan 

Textbox124,district_name,AS_,SrAc_,HAc_,MAc_,SlAc_,N_,MAl_,SlAl_
1,Chittorgarh,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
2,Ganganagar,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
3,Jaipur,16.67,0.00,0.00,16.67,0.00,0.00,66.67,0.00
4,Jhunjhunu,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
5,Kota,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
6,Nagaur,0.00,0.00,0.00,0.00,0.00,0.00,65.93,34.07
7,Sikar,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
8,Udaipur,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00

