textbox1
 Nutrient Status % of pH - Punjab 

Textbox124,district_name,AS_,SrAc_,HAc_,MAc_,SlAc_,N_,MAl_,SlAl_
1,Bathinda,0.00,0.00,0.00,0.00,0.00,0.00,62.50,37.50
2,Faridkot,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
3,Fazilka,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
4,Firozepur,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
5,Hoshiarpur,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
6,Jalandhar,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
7,Ludhiana,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
8,Mansa,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00

